类别,归一形,原文形态,出现次数,语音前缀,建议繁译,状态,备注,例句
人名(片假名),ヤジャック,ヤジャック氏,2,JACK,,忽略,校对忽略: 助词+ジャック氏 粘连,ﾓﾊﾔジャック氏ﾉ足元ﾏで､刃が迫ｯﾃｲﾀ｡
人名(片假名),ラジャック,ラジャック氏,2,JACK,,忽略,校对忽略: 助词+ジャック氏 粘连,ｺｳﾅｯﾀﾗジャック氏以外ﾆ
人名(片假名),リハルカ,リハルカチャン,2,"HARU,HARUKA",,忽略,校对忽略: 助词+ハルカ 粘连,_1_｢だｯﾀﾗ､ﾔｯぱﾘﾊﾙｶﾁｬﾝｦ
人名(片假名),ル,ルサン/ル様,2,-,,忽略,校对忽略: ように 碎片,食ｲ入ﾙ様ﾆ日記ｦ読ﾝでｲﾀ｡
人名(片假名),ルジャック,ルジャック氏,2,JACK,,忽略,校对忽略: 助词+ジャック氏 粘连,_0.飛び跳ﾈﾃ回避ｽﾙジャック氏｡
人名(片假名),ヲジャック,ヲジャック氏,2,JACK,,忽略,校对忽略: 助词+ジャック氏 粘连,_1_｢両方ｦジャック氏がﾔｯﾃｲﾀﾄｼﾀﾗ
人名(片假名),ンハハルカ,ンハハルカクン,2,"HARU,HARUKA",,忽略,校对忽略: 助词+ハルカ 粘连,私達ﾉ姿ｦ見ﾀ途端､ﾂﾑじｸﾝﾊﾊﾙｶｸﾝｦ
术语,シリアルキラー,シリアルキラー,247,-,連環殺手,采用,批次A定稿: 全片核心词(247处),bT香菜ｻﾝがシリアルキラーﾅﾝじｬﾅｲｶｯﾃ
术语,ゲーム,ゲーム,175,-,遊戲,采用,批次A定稿: 殺人ゲーム→殺人遊戲,.殺人ゲームｶ…
术语,ジャック,ジャック,131,JACK,傑克,忽略,并入人名条目,O.ジャックｻﾝﾄﾊどｳｲｳ関係?
术语,テスト,テスト,83,-,,忽略,"调试菜单串(sts_deb*, kind=system 永不翻译)",テスト
术语,ホール,ホール,64,-,大廳,采用,批次A定稿: 游戏舞台大厅(WR中心49层),大ｷﾅホールがｱﾙ｡ｿｺﾆ行ｸﾄｲｲ｡
术语,フェードアウト,フェードアウト,63,-,,忽略,command 行引擎串(致命规则: 不可改动); 对白13处按句翻(淡出),フェードアウト
术语,ロム,ロム,59,-,,忽略,"场景标签行(ロム2_*/ROM2_*), 内部标签永不翻译",ロム1_香菜ｦ信じﾅｲ
术语,ターン,ターン,51,-,回合,采用,"批次A定稿: 章节单位(ターン1-7), 对白内按句组(每3回合)",_ロム2_ターン1_薫初
术语,メール,メール,51,-,郵件,采用,"批次A定稿: 手机邮件系统, 件名→邮件标题",tメールが1件……?
术语,オレ,オレ,39,-,,忽略,"第一人称, 风格指南: 一律我",オレﾊ嫌ｲじｬﾅｲぜ､人殺ｼ!
术语,ルール,ルール,38,-,規則,采用,批次A定稿,でﾓｺﾚ､ｿｳｲｳルールﾅﾝでｼｮ?｣
术语,ドア,ドア,35,-,,忽略,"普通词汇, 机翻按句处理",ｽぐｿｺﾆｱﾙドアﾉ中ｶﾗ
术语,ダメ,ダメ,31,-,,忽略,"普通词汇, 机翻按句处理",_1_｢怪ｼｲ人ﾆﾂｲﾃ行ｯﾁｬダメだﾓﾝ!｣
术语,ロック,ロック,30,-,鎖定,采用,批次A定稿: 电子锁门(锁=简体不可编码),_4_｢電気的ﾆドアｦロックｽﾙシステムだﾅ｡
术语,チミ,チミ,28,-,,忽略,"第二人称指代(ジャック语癖), 风格指南: 省略或以称呼指代",O.ﾝ､チミ､ﾏだ未実装じｬﾅｲｶ｡
术语,メッセージ,メッセージ,27,-,,忽略,"普通词汇, 机翻按句处理",メッセージﾄｿﾉ方法が図ﾄｼﾃ表示ｻﾚﾃｲﾀ｡
术语,エレベータ,エレベータ,22,-,,忽略,"普通词汇, 机翻按句处理",ｿﾉ向ｶｲ側ﾆﾊエレベータﾄ､
术语,オフィス,オフィス,22,-,,忽略,"普通词汇按句处理; 辦 不可编码, 按句用事務室/寫字樓",ebIオフィス
术语,タイム,タイム,21,-,時間,采用,"批次A定稿: 探偵タイム→偵探時間, タイムマシン→時光機",120秒間ﾉ『探偵タイム』が始ﾏﾘﾏｽ』
术语,ガラス,ガラス,20,-,,忽略,"普通词汇, 机翻按句处理",ｻｯｷﾏで透明だｯﾀガラスが
术语,ビル,ビル,19,-,,忽略,"普通词汇, 机翻按句处理",聞ｲﾀｺﾄﾉﾅｲビルだ｡
术语,プロポーズ,プロポーズ,17,-,,忽略,"普通词汇, 机翻按句处理",ian｢ﾕﾕ､色ﾝﾅ人ﾆプロポーズｻﾚﾙﾝだｹど
术语,バカ,バカ,16,-,,忽略,"普通词汇, 机翻按句处理",私ﾊバカﾗｼｸﾅｯﾃ､投票部屋ｦ出ﾀ｡
术语,システム,システム,15,-,,忽略,"普通词汇, 机翻按句处理",_4_｢電気的ﾆドアｦロックｽﾙシステムだﾅ｡
术语,マシン,マシン,15,-,,忽略,"普通词汇, 机翻按句处理",投票マシンﾆ接続ｽﾗｻﾚﾃｲﾅｲ｡
术语,マジ,マジ,15,-,,忽略,"普通词汇, 机翻按句处理",｢ｴｰｯ､マジｽｶ!｣
术语,トイレ,トイレ,14,-,,忽略,"普通词汇, 机翻按句处理",簡易トイレｶ､ATMｶ……｡
术语,セット,セット,12,-,,忽略,"场景标签/布景串(汎用人物セット等), 永不翻译",セット_背景
术语,バレ,バレ,12,-,,忽略,"普通词汇, 机翻按句处理",ｿﾚﾊバレﾅｲﾖｳﾆ出来ﾙﾉだﾛｳｶ?
术语,ポケット,ポケット,12,-,,忽略,"普通词汇, 机翻按句处理",ポケットﾉ中で､ブルブルﾄ震ｴﾃｲﾙ｡
术语,ジャミング,ジャミング,11,-,干擾,采用,批次A定稿: 信号干扰,ジャミング
术语,テストメニュー,テストメニュー,11,-,,忽略,"调试菜单串(sts_deb*, 永不翻译)",テストメニュー1
术语,ボイン,ボイン,11,-,,忽略,并入人名条目,0.ﾖｫ､ボインﾁｬﾝじｬﾈｪｶ｡
术语,ヤツ,ヤツ,11,-,,忽略,"普通词汇, 机翻按句处理",誰がｺﾝﾅヤツ!｣
术语,アラーム,アラーム,10,-,鬧鈴,采用,批次A定稿: 倒计时提醒音,1分前ﾆアラームが鳴ﾘﾏｽﾉで
术语,ムカ,ムカ,10,-,,忽略,"普通词汇, 机翻按句处理",ﾎﾝﾄムカﾂｸﾖﾈ!｣
术语,ライター,ライター,10,-,,忽略,"普通词汇, 机翻按句处理",香菜ｻﾝが､ライターﾐﾀｲﾅﾉﾆ
术语,ギリギリ,ギリギリ,9,-,,忽略,"普通词汇, 机翻按句处理",ギリギリﾄ歯噛ﾐｽﾙ樫沢氏｡
术语,タイプ,タイプ,9,-,,忽略,"普通词汇, 机翻按句处理",ﾕｯｸﾘ殺ｼﾀｲタイプだぜ｡ﾌﾋｬﾋｬﾋｬｯ!｣
术语,ワケ,ワケ,9,-,,忽略,"普通词汇, 机翻按句处理",｢ｱﾀｼ､ｵ姉ｻﾏﾐﾀｲﾆ頭が良ｲワケじｬﾅｲ｡
术语,コイツ,コイツ,8,-,,忽略,"普通词汇, 机翻按句处理",_3_｢ﾌﾋｬﾋｬﾋｬｯ! コイツﾊｵﾓｼﾚｪ!
术语,チュートリアル,チュートリアル,8,-,,忽略,"场景标签(ROM2_ターン1_チュートリアル等), 永不翻译",チュートリアル移動
术语,バッド,バッド,8,-,,忽略,标签形(ツムじバッド/バッドエンド); 对白1处按句翻(坏结局),ターン4_ﾂﾑじバッド
术语,オシラセシマス,オシラセシマス,7,-,,忽略,"普通词汇, 机翻按句处理",件名『次ﾉ犠牲者ｦオシラセシマス』｡
术语,ホント,ホント,7,-,,忽略,"普通词汇, 机翻按句处理",bZｺﾚでホントﾆ終ﾜﾘだﾖ!
术语,ウワサ,ウワサ,6,-,,忽略,"普通词汇, 机翻按句处理",色々ﾅウワサがｱﾙｺﾄだﾛｳ｡
术语,クソガキ,クソガキ,6,-,臭小鬼,采用,批次A定稿: 与风格指南骂称表一致,_3_｢ﾊﾊﾊ､失礼ﾅクソガキだﾅ｡
术语,クッキー,クッキー,6,-,,忽略,"普通词汇, 机翻按句处理",NO.ｱ､クッキー
术语,ショック,ショック,6,-,,忽略,"普通词汇, 机翻按句处理",_1_｢美紀ｸﾝ｡ショックｦ受ｹﾙﾉﾊｶﾏﾜﾅｲが……
术语,シーン,シーン,6,-,,忽略,系统块为内部标签; 对白6处按句翻(场面/镜头),シーン選択
术语,スルー,スルー,6,-,,忽略,"普通词汇, 机翻按句处理",飽ｷﾃｷﾃﾙﾉで､ｺｺﾊスルーｼﾃｵｸ｡
术语,ツンデレ,ツンデレ,6,-,傲嬌,采用,批次A定稿,_1_｢ﾌﾑ､ｲｲツンデレだﾅ｡
术语,ノート,ノート,6,-,,忽略,"普通词汇, 机翻按句处理",_1_｢ｱｧ｡ﾓﾁﾛﾝ我々ﾊｿﾝﾅ殺人ノートﾊ
术语,バラバラ,バラバラ,6,-,,忽略,"普通词汇, 机翻按句处理",_1_｢シリアルキラーﾉ投票がバラバラﾆﾅｯﾀ場合､
术语,パソコン,パソコン,6,-,,忽略,"普通词汇, 机翻按句处理",ﾜｶﾗﾅｲ腕輪が､パソコンﾆ繋がﾚﾃｲﾀ｡
术语,パニック,パニック,6,-,,忽略,"普通词汇, 机翻按句处理",恐怖でパニックﾆﾅｯﾀﾘﾊｼﾅｲだﾛｳ｡
术语,ピピピッ,ピピピッ,6,-,,忽略,"普通词汇, 机翻按句处理",ピピピッﾄｲｳ音ﾄﾄﾓﾆ
术语,フロア,フロア,6,-,樓層,采用,批次A定稿,ｻﾃ､ﾏずﾊ……フロア内ｦ一周ｼﾃﾐﾙｶ｡
术语,メリット,メリット,6,-,,忽略,"普通词汇, 机翻按句处理",何ﾉメリットﾓﾅｲ作戦だｶﾗﾅ｡
术语,イタズラ,イタズラ,5,-,,忽略,"普通词汇, 机翻按句处理",｢ﾏｧ､イタズラﾉ類だﾛｳが､
术语,カテゴリ,カテゴリ,5,-,,忽略,"KW 分类标签与系统串, 永不翻译",カテゴリ
术语,シルキラ,シルキラ,5,-,,忽略,"标签内 シリアルキラー 缩写, 永不翻译",ﾂﾑじがシルキラ_ﾂﾑじバッド
术语,セーフ,セーフ,5,-,,忽略,"普通词汇, 机翻按句处理",.｢ﾌｩ｡セーフ｣
术语,タイミング,タイミング,5,-,,忽略,"普通词汇, 机翻按句处理",ｺﾉタイミングﾉメール｡
术语,チェーンメール,チェーンメール,5,-,連鎖郵件,采用,批次A定稿,チェーンメール?｣
术语,テレビ,テレビ,5,-,,忽略,"普通词汇, 机翻按句处理",テレビでﾖｸCMｼﾃﾏｽｶﾗﾈ｡
术语,テンション,テンション,5,-,,忽略,"普通词汇, 机翻按句处理",ﾀだ､テンションで動ｲﾃｼﾏｳﾄｲｳ
术语,フロアマップ,フロアマップ,5,-,樓層圖,采用,批次A定稿,フロアマップﾉﾖｳﾅﾓﾉがｱｯﾀ｡
术语,マシンルーム,マシンルーム,5,-,機房,采用,批次A定稿: 投票机/服务器所在,Iマシンルーム
术语,マジメ,マジメ,5,-,,忽略,"普通词汇, 机翻按句处理",少ﾅｸﾄﾓ今ｺﾉ瞬間ﾊ､マジメﾆ黙ｯﾃｲﾖｳ｡
术语,モニター,モニター,5,-,,忽略,"普通词汇, 机翻按句处理",ｿﾉﾏﾏモニターﾍﾄ視線ｦ移ｽ｡
术语,ヤバイ,ヤバイ,5,-,,忽略,"普通词汇, 机翻按句处理",.何ｶ､ヤバイ雰囲気じｬﾅｲｯｽｶ?｣
术语,リスク,リスク,5,-,,忽略,"普通词汇, 机翻按句处理",リスクが高ｲﾉｦ承知で……｣
术语,リーダー,リーダー,5,-,,忽略,"普通词汇, 机翻按句处理",シリアルキラーﾉリーダーでｱﾙｶﾉﾖｳﾆ､
术语,イジメ,イジメ,4,-,,忽略,"普通词汇, 机翻按句处理",｢ｵ姉ｻﾝ｡ﾊﾙｶｦイジメﾅｲでﾖ｣
术语,クリア,クリア,4,-,,忽略,UI 串在 sts_cmn(kind=system 永不翻译); 对白4处按句(通关/变透明),クリア情報ｦセーブｼﾏｽｶ?
术语,ジョーシキ,ジョーシキ,4,-,,忽略,"普通词汇, 机翻按句处理",｢ｿ､ｿｳ｡ジョーシキだﾖﾈ､ジョーシキ!
术语,スイッチ,スイッチ,4,-,,忽略,"普通词汇, 机翻按句处理",_1_｢ｴｯﾄ､スイッチ……ﾊ､ﾀｼｶ､ｺﾉ辺ﾘ……｣
术语,テルミット,テルミット,4,-,高温燃焼剤,采用,"定稿: 意译; 爆弾→高温燃焼剤炸彈, 反応→高温燃焼反応; 鋁熱剤列 P9 替换清单(鋁不可编码)",_4_｢テルミット爆弾ﾖ｡
术语,トラウマ,トラウマ,4,-,,忽略,"普通词汇, 机翻按句处理",私……ｿﾉ､トラウマが……｣
术语,フラグ,フラグ,4,-,flag,采用,"批次A定稿: ASCII 可编码; 死亡フラグ→死亡flag, 立flag",_ｺﾚ､悪役ﾉ死亡フラグでｽﾖﾈ｡
术语,プレイ,プレイ,4,-,,忽略,"普通词汇, 机翻按句处理",プレイｻｾﾙ､ｿﾉﾀﾒﾆｺｺﾆ呼ばﾚﾀ気がｼﾃ
术语,プロペラ,プロペラ,4,-,,忽略,"普通词汇按句处理; 槳 不可编码, 按句改写(扇葉/風扇)",ｿｺｶﾗﾏﾙでプロペラﾉﾖｳﾆ
术语,ロボット,ロボット,4,-,,忽略,"普通词汇, 机翻按句处理",_4_｢……ロ､ロボット!?｣
术语,アンタ,アンタ,3,-,,忽略,"第二人称指代, 风格指南: 省略主语或以称呼指代",アンタ､ｲﾂﾓボインﾁｬﾝﾆ
术语,カップ,カップ,3,-,,忽略,"普通词汇, 机翻按句处理",好ｷﾅ言葉ﾊ『ｳﾋｬｰ』｡胸ﾉカップﾊD｣
术语,キャラ,キャラ,3,-,,忽略,"普通词汇, 机翻按句处理",言ｳキャラでｼﾀｯｹ?｣
术语,クレイジー,クレイジー,3,-,,忽略,"普通词汇, 机翻按句处理",ath｢日本人ｯﾃﾎﾝﾄクレイジーだﾖﾈｰ｣
术语,ケンカ,ケンカ,3,-,,忽略,"普通词汇, 机翻按句处理",｢ﾌｪｪｰ､ケンカﾊﾔﾒﾃｸだｻｰｲｨｰ｣
术语,コンピュータ,コンピュータ,3,-,,忽略,"普通词汇, 机翻按句处理",_1_｢毒針ﾉ他ﾆﾊコンピュータが詰ﾏｯﾃﾀﾉ｡
术语,ジュース,ジュース,3,-,,忽略,"普通词汇, 机翻按句处理",絞ﾘ出ｻﾚﾀ赤ｲジュースが
术语,ジレンマ,ジレンマ,3,-,,忽略,"普通词汇, 机翻按句处理",……ジレンマだﾅ｡
术语,スライスミキサー,スライスミキサー,3,-,切片攪拌機,采用,批次A定稿: 处刑手段名,"『処刑方法ﾊ､“スライスミキサー""でｽ』"
术语,セーブ,セーブ,3,-,,忽略,UI 串在 sts_cmn 永不翻译; 对白2处按句(存档),クリア情報ｦセーブｼﾏｽｶ?
术语,ダメージ,ダメージ,3,-,,忽略,"普通词汇, 机翻按句处理",だがｿﾚﾊ､扉ﾆダメージｦ
术语,デバッグ,デバッグ,3,-,,忽略,"调试串(sts_deb*, 永不翻译)",岩井ｻﾝデバッグ
术语,デバッグスタート,デバッグスタート,3,-,,忽略,"调试入口串(sts_deb*, 永不翻译)",デバッグスタート
术语,データ,データ,3,-,,忽略,"普通词汇, 机翻按句处理",_3_｢ﾀだ､普通ﾉ携帯じｬ衛星ｶﾗﾉデータｦ
术语,トラブル,トラブル,3,-,,忽略,"普通词汇, 机翻按句处理",自分以外ﾄトラブルﾉｱｯﾀ者ｦ指名ｽﾙ｣
术语,ドキドキ,ドキドキ,3,-,,忽略,"普通词汇, 机翻按句处理",ドキドキｼﾁｬｳﾖﾈ!!
术语,ニヤリ,ニヤリ,3,-,,忽略,风格指南已定: 怪笑,香菜ｻﾝがニヤリﾄ……｣
术语,ハッキリ,ハッキリ,3,-,,忽略,"普通词汇, 机翻按句处理",_3_｢ぐ､ぐﾊｯ｡ｵ姉ｻﾏ､ｿﾝﾅハッキリﾄ!!｣
术语,バイト,バイト,3,-,,忽略,"KW调试串(sts_deb*, 永不翻译)",O.KWテスト_バイト
术语,バニラ,バニラ,3,-,,忽略,"普通词汇, 机翻按句处理",_3_｢バニラだ!
术语,パートナー,パートナー,3,-,,忽略,"系统块调试串(sts_debZONO, 永不翻译); 对白1处按句",パートナーﾅｼ
术语,ヒント,ヒント,3,-,,忽略,"普通词汇, 机翻按句处理",ｿﾉﾀﾒﾉヒントﾄｼﾃ探偵ﾉ能力ｦ使ｳ｡
术语,フルネーム,フルネーム,3,-,,忽略,"普通词汇, 机翻按句处理",ﾄｲｳｺﾄﾊ､彼女ﾉフルネームﾊ
术语,ベタベタ,ベタベタ,3,-,,忽略,"普通词汇, 机翻按句处理",ベタベタｻﾚﾅｲﾉでｱﾚば良ｲｶ｡
术语,ペナルティ,ペナルティ,3,-,,忽略,"普通词汇, 机翻按句处理",ペナルティﾄでﾓ言ｳﾉｶ……?
术语,ページ,ページ,3,-,,忽略,"普通词汇, 机翻按句处理",次ページ
术语,ラブレター,ラブレター,3,-,,忽略,"普通词汇, 机翻按句处理",｢じｬｱ､ｺﾉラブレターｯﾃ……｣
