页名,块,类型,原文(日文),现行译文,你的译文,说明
RULE08,body,正文,"ターン終了後、〈市民〉によって「指名」された人物のうち指名数が最も多かった人物は死亡する。","回合結束後，在被〈市民〉指名的人之中， / 指名數最多者將死亡。","",顶部横幅(2行)
RULE08,label1,标注,"指名により / 死亡","因指名 / 死亡","",右下白底方块(上下两行)
RULE08,keep1,同形标注,"指名","指名","",箭头标注(同形保留原像素)
RULE08,keep2,同形标注,"生存","生存","",蓝棋下方(同形保留原像素)
RULE09,body,正文,"全ての〈シリアルキラー〉が死亡すれば〈市民〉の勝利となり、〈市民〉が〈シリアルキラー〉と同数以下となれば〈シリアルキラー〉の勝利となる。","若所有〈連環殺手〉死亡，則〈市民〉方獲勝； / 若〈市民〉人數降至與〈連環殺手〉相同或更少， / 則由〈連環殺手〉方獲勝。","",顶部横幅(3行)
RULE09,label1,标注,"市民側勝利!!","市民方獲勝!!","",上方白云上的胜利标签
RULE09,label2,标注,"シリアルキラー側勝利!!","連環殺手方獲勝!!","",下方黑底上的胜利标签
RULE10,body,正文,"〈市民〉側特別役。〈警官〉が「指名」した相手はそのターンには死亡しない。〈警官〉は1名のみ割り当てられる","〈市民〉方特殊身分。被〈警官〉「指名」的對象 / 在該回合不會死亡。 / 〈警官〉僅配置 1 名","",顶部横幅(3行)
RULE10,label1,标注,"死亡しない","不會死亡","",中间蓝棋下方
RULE10,keep1,同形标注,"指名","指名","",箭头标注(2处; 同形保留原像素)
RULE10,keep2,同形标注,"警官","警官","",右侧警官棋子旁(同形保留原像素)
RULE12,body,正文,"〈警官〉および〈探偵〉の「指名」はルール8のカウントに含まれない。","〈警官〉與〈偵探〉的「指名」 / 不計入規則 8 的計數。","",顶部横幅(2行)
RULE12,label1,引用框,"参照：ルール8 / ターン終了後、〈市民〉によって「指名」された人物のうち / 指名数が最も多かった人物は死亡する。","參照：規則 8 / 回合結束後，在被〈市民〉指名的 / 人之中，指名數最多者將死亡。","",页面下方参照框(3行)
RULE13,body,正文,"〈探偵〉が「指名」できるのは、他の誰かが指名している人間だけである。","〈偵探〉只能指名已被其他人指名的人。","",顶部横幅
RULE13,keep1,同形标注,"指名","指名","",箭头标注(3处; 其一被红叉划掉; 同形保留原像素)
RULE14,body,正文,"〈シリアルキラー〉側の「指名」が同数になった場合、優先権を持った〈シリアルキラー〉の「指名」が適用される。優先権を持つ〈シリアルキラー〉は毎ターン規則的に入れ替わる。","〈連環殺手〉方的「指名」數相同時， / 適用持有優先權的〈連環殺手〉的「指名」。 / 持有優先權的〈連環殺手〉每回合按規則 / 輪換。","",顶部横幅(4行)
RULE14,label1,标注,"優先権 / 所持","優先權 / 持有","",左下白底方块(上下两行)
RULE14,label2,标注,"指名により / 死亡","因指名 / 死亡","",右下白底方块(上下两行)
RULE14,keep1,同形标注,"指名","指名","",箭头标注(2处; 同形保留原像素)
RULE14,keep2,同形标注,"生存","生存","",蓝棋下方(同形保留原像素)
RULE15,body,正文,"市民側の「指名」が同数になった場合、同率1位の参加者全員が死亡する。","市民方的「指名」數相同時， / 並列第一的參加者將全體死亡。","",顶部横幅(2行)
RULE15,label1,标注,"指名により / 死亡","因指名 / 死亡","",上方白底方块(上下两行)
RULE15,label2,标注,"指名により / 死亡","因指名 / 死亡","",下方白底方块(上下两行)
RULE15,keep1,同形标注,"指名","指名","",箭头标注(2处; 同形保留原像素)
RULE16,body,正文,"参加者同士で直接的な暴力行為が行われたり、時間内に「指名」しないなどルールを破った者はその時点で反則負けとなる。","參加者之間發生直接的暴力行為， / 或在時間內未「指名」等違反規則者， / 即時判為犯規判負。","",顶部横幅(3行)
RULE16,label1,标注,"ルール違反により / 反則負け","因違反規則 / 犯規判負","",左下黑底方块(上下两行)
RULE17,body,正文,"勝負がついた時、負けた側はその時点で生存していても全員死亡する。","分出勝負時，敗方即使當下仍存活， / 也將全體死亡。","",顶部横幅(2行)
RULE17,label1,标注,"シリアルキラー側勝利!!","連環殺手方獲勝!!","",中部黑底上的胜利标签
RULE17,keep1,同形标注,"市民全員死亡","市民全員死亡","",左下云朵下方(同形保留原像素)
RULE18,body,正文,"1〜17のルールに反しない限り、行動や発言は自由である。","只要不違反規則 1-17，行動與發言皆自由。","",顶部横幅
